obj1_feature_1,obj2_feature_1,obj1_feature_2,obj2_feature_2,obj1_feature_3,obj2_feature_3,obj1_feature_4,obj2_feature_4,collision
1,1,8,1,0.28598050781184803,0.2646074209634999,1,0,0
0,0,8,3,0.5253012158100425,0.8583060895381911,0,1,1
0,1,5,8,0.3542194435519802,0.4984845761323152,0,1,0
1,0,6,10,0.074070033746505,0.08273125764379374,1,0,1
1,0,2,1,0.7260578181040507,0.7410536896312878,1,1,0
1,1,4,10,0.3510254952748926,0.5380959071554242,0,1,0
1,0,2,5,0.7920248635544834,0.8630110113369962,0,0,1
0,1,6,2,0.7025640370528409,0.759362403544742,1,0,1
0,1,9,3,0.6214419991756027,0.9673046205849017,1,1,0
1,1,3,7,0.16259568844108396,0.42417981558028506,1,1,0
1,1,9,8,0.35715331642064463,0.654854291896514,0,1,1
0,1,8,8,0.06499812430181051,0.37544899365001383,1,0,0
0,1,3,2,0.42681316224851185,0.9013401655249307,1,0,0
0,1,7,6,0.6563277799433697,0.1839187990105945,0,1,0
0,0,9,3,0.7609919434128996,0.6650618529663949,0,1,0
1,1,2,10,0.5377570248687306,0.9023221929698272,1,1,1
0,0,9,8,0.9504392462141258,0.9108268303619315,1,0,0
1,1,4,9,0.9005497013750727,0.1006669478156097,0,1,1
1,0,2,6,0.5298307760329598,0.5040071974533401,1,0,1
1,0,9,7,0.34846977975293236,0.9285551472750567,1,1,0
1,0,8,3,0.7824754332011226,0.9129778574934829,0,1,1
1,0,4,3,0.29147371521761456,0.36641850178577606,0,1,0
1,1,3,6,0.8478215791579086,0.6105688192768178,1,1,0
1,0,1,9,0.04016175543944245,0.09232332307686486,1,0,0
0,1,9,8,0.7157697007134891,0.22383622624069133,0,1,0
0,0,4,10,0.7469737381963685,0.7265859556209984,1,1,1
1,0,4,1,0.31279551031217667,0.4534472943677669,0,1,1
0,0,6,1,0.7283622860596747,0.8140893805836609,1,1,1
1,1,6,10,0.05507449719801838,0.5799078166436027,0,1,1
1,0,5,9,0.7777878703149537,0.3815361227221967,0,0,1
1,0,7,6,0.14700107649644933,0.4506699643721387,0,0,0
1,1,1,7,0.3704443784284267,0.7920594587901678,1,0,0
1,0,5,8,0.2838813470069752,0.21709872448160317,1,0,0
0,0,7,10,0.10572988135138939,0.31405433215401724,0,1,1
1,1,2,9,0.3829484667511207,0.6162775611671131,0,0,1
1,1,5,5,0.18101296397986466,0.4477231440549081,1,1,1
0,1,7,10,0.5787476330970052,0.6821146759502109,0,0,0
0,1,6,3,0.9954670404263984,0.32974060092743696,0,0,1
1,1,5,5,0.48738784444466565,0.7449379858731666,0,0,0
0,0,2,2,0.9279319483259384,0.8722994809206318,0,1,0
0,1,3,4,0.8972047902222855,0.8577205862548096,0,1,0
0,0,7,3,0.4661385772564307,0.10930442047797129,1,1,0
1,1,4,5,0.714449346792121,0.9326764077945029,1,0,0
1,1,5,10,0.5761471951494478,0.6919797627279449,0,1,1
1,1,7,6,0.3690990516506738,0.048453662267922026,0,0,0
0,1,2,10,0.23763785906353174,0.4026039607706835,0,0,1
1,1,10,1,0.7118589103798397,0.3538546236488208,1,0,0
0,0,1,4,0.2331780702653845,0.9593494555539535,1,0,1
1,1,5,8,0.8567481747319263,0.9627131102319325,1,1,1
0,1,4,9,0.5013452302929307,0.38385132881479767,0,0,0
0,1,7,8,0.05018867896761037,0.2829974719271996,1,0,0
0,1,5,7,0.43387405625162545,0.7405067718069396,1,0,0
