obj1_feature_1,obj2_feature_1,obj1_feature_2,obj2_feature_2,obj1_feature_3,obj2_feature_3,obj1_feature_4,obj2_feature_4,obj1_feature_5,obj2_feature_5,obj1_feature_6,obj2_feature_6,obj1_feature_7,obj2_feature_7,obj1_feature_8,obj2_feature_8,obj1_feature_9,obj2_feature_9,obj1_feature_10,obj2_feature_10,collision
1,0,7,5,0.8730754731575167,0.6493356056535025,1,1,5,4,0.06706223987701576,0.19005123378704103,0,1,1,3,0.4331932634249478,0.2221145694470592,0,0,1
1,0,1,9,0.34986747439689003,0.4228326105893959,1,0,10,7,0.7193890948835602,0.828489507725012,0,1,1,6,0.10703548201715418,0.8435890782100812,0,0,1
1,0,2,7,0.28305194554357105,0.2939325960565504,1,0,2,7,0.7258972572603154,0.6299137116336857,0,0,4,2,0.08422398369669493,0.7534372370785879,1,0,1
0,1,5,1,0.5591076568545932,0.20284974633979125,1,0,2,4,0.5010609488781527,0.3837362373170382,1,0,5,1,0.050708098112812516,0.9229725242642761,0,0,0
0,1,9,6,0.8350324714106284,0.8865612612805199,0,0,4,5,0.41484154446855215,0.47034345007890743,0,1,3,6,0.39837456641567304,0.7065494795808663,1,0,1
1,0,9,4,0.5248859860191593,0.8431095586950268,1,1,8,6,0.09338810869230674,0.2702741173063078,1,0,4,3,0.5013022050573583,0.3376030663212447,0,1,0
1,0,7,4,0.9573358061260607,0.2402413010890987,1,1,3,5,0.6201201807096146,0.231764906775366,0,0,7,5,0.3815476371718908,0.9575459393289547,1,1,1
1,1,4,1,0.4475987340811468,0.7400965270782843,1,1,8,10,0.8369215108928391,0.26429478180408394,0,0,5,4,0.4607726398297213,0.5990955773046723,1,0,1
0,1,9,2,0.10506280799605028,0.8053573988365099,0,1,3,8,0.0937071826061252,0.8151403566280353,0,1,7,6,0.6480580728185804,0.9437265745352797,1,1,1
1,1,4,8,0.16321287320459066,0.3940273231240713,0,1,8,7,0.15560017587372832,0.96067468395275,0,0,8,7,0.1618677209415338,0.8387576538583148,1,1,0
1,1,5,5,0.46135629099464825,0.8690580503011214,0,0,10,7,0.8892114096201928,0.9645972848678958,1,1,3,10,0.12309552381578959,0.8075797228147805,0,0,0
0,1,6,7,0.8480630479876698,0.0023584920239354545,0,0,1,6,0.8832367443087557,0.9578209232988738,1,1,7,7,0.29891442446782746,0.8735681772560561,1,1,1
1,0,3,4,0.9430714623524762,0.04604124135689436,0,1,4,4,0.4157613438960689,0.4877024234761562,0,0,9,9,0.6087593665784057,0.18776608841505926,1,0,0
0,0,9,3,0.6697634920895397,0.8655540699987918,0,1,9,4,0.26858194227653576,0.9558070637817291,1,0,3,3,0.5721960414876683,0.7679067925685193,0,0,1
0,1,2,9,0.19296633299743715,0.6306982148375109,0,1,5,1,0.5827945464684423,0.31720762728401186,0,1,10,8,0.7189144662702347,0.06154947602102645,1,0,0
0,0,4,6,0.22636433570027026,0.0551495575684362,0,0,6,3,0.3001715011854499,0.961909253875687,1,0,6,7,0.8383883957523054,0.23059237436519942,0,0,1
1,0,4,1,0.7524124733766302,0.6566297507347658,1,0,2,1,0.49670233774956074,0.7823498497126622,1,1,8,3,0.9401631343752685,0.6387616981089229,1,0,0
1,1,3,7,0.9357157602383454,0.7028420460158251,0,1,1,4,0.06506326855576816,0.856833008721,0,1,1,4,0.07188143261592184,0.40157062831887025,0,1,1
1,0,1,5,0.14880464078344857,0.954667031957076,0,0,7,3,0.8968983045521848,0.8851751699623889,0,0,8,5,0.18383724535256307,0.44430346915949137,0,0,1
1,0,4,10,0.284187635327691,0.7493930643004693,1,1,9,7,0.8090722913160896,0.738668093005999,0,0,3,6,0.5295486436945893,0.39234240988847313,0,1,0
1,1,4,2,0.2476750408207521,0.9458613427086894,0,1,10,10,0.6035172484568752,0.7341062453180847,1,1,2,8,0.479983491789987,0.5225879925610194,1,1,0
1,0,4,10,0.3936375120289902,0.3745438142821711,1,1,9,1,0.4956955508399842,0.64618651062837,0,0,2,6,0.34047491545275743,0.6105253077348983,0,0,0
0,0,4,3,0.436550323938951,0.4016766718214272,1,0,4,2,0.9634293108658336,0.3544562382684774,0,0,1,8,0.4296332903952088,0.9834718697879229,1,0,1
0,0,9,2,0.7190665305089242,0.8736634209015921,1,0,8,10,0.3401040902371266,0.2793375510213302,0,1,4,1,0.9481354267423898,0.5981301610915366,1,1,1
1,1,4,6,0.534914803808308,0.9230511211346194,0,0,2,2,0.10076262591134244,0.23946765552515648,1,1,6,7,0.38718837946923856,0.7996387194414531,1,1,1
0,0,7,7,0.9772807277248449,0.0013386203318971335,1,1,3,4,0.36625962703608217,0.6022381036632095,1,0,1,6,0.3678670546700632,0.2966308295366371,0,1,0
0,1,3,2,0.006326655319152774,0.2696842266150766,1,1,8,2,0.5328706230656856,0.25103493274252286,1,1,10,5,0.26046123363958207,0.1727159930638411,1,1,1
0,1,1,9,0.8646614961899831,0.6078946020188372,0,0,7,6,0.6330379698530321,0.587349033030691,1,1,2,1,0.18574262363858607,0.022469522315970103,0,0,0
0,0,4,8,0.62288160460407,0.5067196375150379,1,0,8,2,0.4221506254198113,0.03800347064182663,0,1,1,4,0.2614116398436497,0.5618364304214473,1,1,0
0,0,9,4,0.9974973293216903,0.8230570297222324,1,0,9,2,0.2622784440272149,0.4915460465949265,0,1,2,10,0.34791995442578694,0.19304804910629425,0,0,1
0,1,10,8,0.06402094290303617,0.8301234960985325,0,0,9,1,0.392486906768874,0.9479395814789034,1,1,7,6,0.6129959021982333,0.8511618662303478,0,1,1
1,0,5,7,0.2946130847698816,0.8038013198187594,1,0,2,10,0.5564091669526169,0.8469058992291822,1,0,9,5,0.8996398993339432,0.5322069523804153,1,1,0
1,0,6,10,0.05131369242250727,0.7498587867583072,1,1,3,8,0.5040861285185508,0.17499422292539346,0,1,9,5,0.6432760200136517,0.3812211848660755,1,0,0
0,1,9,1,0.2215831319240118,0.08716145133136144,0,1,5,4,0.8443546774489952,0.6625050133839682,0,0,2,7,0.9846802938254662,0.4367732882545854,1,0,1
0,0,4,1,0.35273677655558466,0.9235659061700553,1,0,1,2,0.5401864992756638,0.6555791058370279,1,0,6,3,0.12902864130053138,0.6764073762900016,0,0,1
0,1,10,4,0.8244884484735149,0.41226340760041114,0,1,7,5,0.9945362533945442,0.5007010174738538,0,1,7,1,0.39146673272234556,0.6743120972173059,0,0,1
0,0,1,8,0.9021972712526201,0.5028348748278499,0,1,2,3,0.8216451542691283,0.020830922935382246,0,1,7,6,0.9630651553823698,0.21890485099317358,0,1,0
1,1,8,4,0.03373403359646665,0.2609030537689724,1,0,6,1,0.2154037617535537,0.3149541638933432,0,1,4,5,0.4346526943617234,0.47690244767329604,1,0,1
0,0,5,4,0.9959803078405731,0.2796376021317263,1,1,9,8,0.06345647040614855,0.02370568837976106,0,1,10,3,0.17791879849763637,0.24501818211339021,1,0,0
1,1,9,8,0.18526037258557837,0.7465055405715915,1,0,2,2,0.12280560050293898,0.11519997493938228,0,1,7,9,0.25102299639327563,0.56997021958036,0,1,1
1,0,7,4,0.7295860416462591,0.281003315692818,0,1,1,4,0.3320179938353237,0.3339653798846157,0,1,8,2,0.3400319236067557,0.11643435140473724,1,0,0
0,1,3,1,0.9344983629468677,0.314609283126811,1,0,9,3,0.5593678359040652,0.8784373381875377,0,1,5,9,0.6416169736987087,0.5492329304256093,0,1,0
0,0,6,9,0.16510477179792193,0.47435987376944755,0,0,10,2,0.5597334851469862,0.5021329946703315,0,0,2,8,0.7933787451068851,0.9679360268365967,0,0,0
1,0,6,1,0.6352624817300427,0.14577804335685407,1,1,1,2,0.5616081095275498,0.2521894856250043,0,1,8,1,0.4762024462723792,0.43454973492810056,1,1,1
0,0,7,4,0.5606482513824036,0.17844548419058348,1,1,10,5,0.010274213393189568,0.16131976846786156,0,1,9,5,0.7355406274817621,0.6045651221517815,1,0,0
0,0,4,9,0.5275617657504571,0.8804327249400488,0,1,5,1,0.24389516595617422,0.7322789149083684,1,0,4,4,0.8277426567274028,0.9888244078809818,1,0,0
1,0,3,6,0.432865557510976,0.8463761700999219,0,1,8,7,0.14875761471957982,0.2273619255889482,1,0,1,3,0.6456506101930182,0.22594016147974072,1,0,0
0,1,8,1,0.3217894726890914,0.6537412497839459,1,1,6,6,0.10059724423841221,0.9557167304673462,0,1,5,8,0.0005745429992802809,0.7415251190583257,1,0,1
0,0,6,10,0.7851910349734929,0.6574439726007137,0,1,7,7,0.42313886425460745,0.6572989009583421,0,0,5,8,0.8168490907746843,0.3602866662433454,0,0,0
0,0,1,3,0.503338846239162,0.10660966003493011,1,0,4,6,0.7076753224633132,0.15771868531346778,0,1,3,6,0.18569504299920814,0.2397487749268834,1,1,0
1,1,10,10,0.11884868822408656,0.5920896172971413,0,1,6,4,0.5984811103168913,0.20287991655014137,0,0,5,5,0.3530677622567957,0.1613451364083196,1,1,1
1,1,2,7,0.8233328151963404,0.7933665429321253,0,0,6,1,0.8253084640725867,0.841737699515825,1,0,1,8,0.3069868248872758,0.5620520572548598,1,0,0
0,0,1,5,0.2821118958790886,0.5608682925807109,1,0,10,4,0.5759077552532185,0.5353661668402977,0,1,7,3,0.051775747309823594,0.5907540883607292,1,0,0
0,0,6,9,0.18117284260797684,0.08536810065664535,1,0,1,1,0.9369556019056811,0.3078410188760944,1,1,1,8,0.5010686272348848,0.36246370031331276,1,0,1
