obj1_feature_1,obj2_feature_1,obj1_feature_2,obj2_feature_2,obj1_feature_3,obj2_feature_3,obj1_feature_4,obj2_feature_4,obj1_feature_5,obj2_feature_5,obj1_feature_6,obj2_feature_6,obj1_feature_7,obj2_feature_7,obj1_feature_8,obj2_feature_8,collision
0,0,7,5,0.02959558570994747,0.38019956402382193,0,1,9,6,0.26816440106073935,0.6831287363528069,1,1,2,5,1
0,0,8,2,0.3049046403737421,0.3871697979832003,1,0,9,3,0.88592834087381,0.5541766745123083,0,0,5,4,0
0,1,4,10,0.3294392477305146,0.1521954251523544,1,1,1,10,0.528816547807714,0.7173514508378479,1,1,1,1,0
0,1,7,1,0.7010533010916777,0.8795050656760292,1,1,4,8,0.5200774386743023,0.9402066330018019,1,0,4,4,1
1,0,2,5,0.3793128724462139,0.5331598023367348,0,0,3,10,0.4316587752771095,0.812426870702772,1,1,9,9,0
1,1,7,2,0.8739150511646446,0.3256718017676994,0,1,1,5,0.07219045925325007,0.6489925850916909,1,0,6,4,0
0,0,7,2,0.9579438389132262,0.3394808527525254,1,1,5,4,0.5038196678372641,0.6444196622597173,1,0,2,9,0
0,0,1,6,0.38388666228067625,0.9035355474288298,1,1,8,1,0.4154934780796322,0.41165068227519586,1,0,2,4,0
0,1,1,6,0.22256499795566276,0.057068645547333485,1,0,3,8,0.8128530280213421,0.5763887599544402,0,0,10,2,1
1,0,9,4,0.3056052596363579,0.7804731202851485,1,1,4,1,0.12348416508848803,0.3240838269869293,0,1,9,6,0
0,1,10,4,0.9435558464581362,0.6466914888528283,1,1,1,6,0.9940134768541891,0.5902064905972104,0,0,7,4,1
0,0,1,5,0.018247756908977397,0.10089875600038745,1,0,2,2,0.025768638697790225,0.006966361606145943,1,1,6,1,1
0,0,9,9,0.2081072752701303,0.49262695938650236,0,1,2,9,0.31815685192676246,0.5153963699687198,1,0,7,3,1
0,1,8,7,0.3003060792830645,0.9407890965604134,1,1,10,5,0.07601764263616329,0.7972241258521952,1,1,9,10,0
