obj1_feature_1,obj2_feature_1,obj1_feature_2,obj2_feature_2,obj1_feature_3,obj2_feature_3,obj1_feature_4,obj2_feature_4,collision
1,1,1,3,0.5427447993711455,0.43801695389532747,1,0,0
1,0,4,8,0.016042596044354873,0.41160363851716875,1,1,1
1,0,5,5,0.27729766707801706,0.19886195096765125,0,1,0
1,0,5,9,0.7739904550428569,0.27276799243071226,1,1,1
0,0,7,9,0.9990906797759281,0.6854562300339437,1,1,0
1,1,2,7,0.4452275611809242,0.718976987494404,0,1,1
1,1,9,1,0.6650860110486367,0.8208313746623503,1,0,1
1,1,9,6,0.6739301609046753,0.6552843078517359,1,0,0
1,0,4,1,0.16301256443679224,0.6907107939088105,1,1,0
0,0,1,7,0.8347675869976122,0.5083052202918682,0,1,0
0,1,3,4,0.5462629456508394,0.9079451306471499,0,0,1
0,0,6,3,0.9290259777397406,0.5443200996034625,0,1,1
0,1,1,9,0.010658379892484415,0.10492499204800221,0,0,0
0,1,9,8,0.936007651751707,0.7720489460787417,0,1,1
1,1,10,10,0.6183076423061287,0.8151523897808989,0,0,1
0,1,2,7,0.35612246056039365,0.039669263550766276,0,1,1
0,0,8,9,0.8707121299741793,0.014099160196747063,1,0,1
0,1,7,5,0.4218080520949128,0.8471558561868582,1,1,1
0,0,3,2,0.14972301424590684,0.7699377545905092,0,1,0
1,1,9,5,0.39206438254099685,0.5605450400802579,1,1,1
0,1,1,7,0.4561611858876895,0.9334051162847673,1,0,0
0,1,7,9,0.9940072183654501,0.5435745883749274,1,0,1
0,0,9,9,0.5403907484817536,0.18334938186503635,0,1,1
0,0,4,1,0.3503669354358494,0.5884477918037274,1,1,1
0,0,5,6,0.7959456478328445,0.4059667333252207,0,0,1
0,0,10,1,0.16068335818842405,0.499533515726861,1,1,0
1,1,1,10,0.8685391689572564,0.30716741207653864,0,0,0
0,0,8,5,0.9277738774945118,0.12297948005069359,1,1,0
0,0,7,2,0.6448722364076926,0.4839583135735658,1,0,1
1,0,4,8,0.08222456267806,0.8764875932092199,1,0,0
0,0,5,4,0.8289362546179591,0.013905739716206456,0,1,1
1,1,4,8,0.8591873448098943,0.8354533208032557,1,0,0
1,1,4,3,0.6241452656797274,0.2107135716438503,0,1,1
