obj1_feature_1,obj2_feature_1,obj1_feature_2,obj2_feature_2,obj1_feature_3,obj2_feature_3,obj1_feature_4,obj2_feature_4,obj1_feature_5,obj2_feature_5,obj1_feature_6,obj2_feature_6,obj1_feature_7,obj2_feature_7,obj1_feature_8,obj2_feature_8,obj1_feature_9,obj2_feature_9,obj1_feature_10,obj2_feature_10,collision
0,0,7,9,0.5818522958619189,0.8302392459722249,1,1,4,6,0.577298462731771,0.1393213275911881,1,1,4,3,0.4965409244369894,0.362649701629462,0,0,0
0,1,9,4,0.9318295751039739,0.2717664470438468,0,0,6,1,0.03148829133256181,0.5867474689790976,0,0,5,1,0.4641466497280734,0.8171473096378161,0,0,0
0,0,3,9,0.6396751250363835,0.17116908492196392,0,1,10,4,0.10272397394360888,0.18996505360792992,0,0,8,10,0.8839377790216282,0.19208175675846906,1,1,1
0,0,10,2,0.24810665328730996,0.17795582087119277,0,0,7,10,0.8939900190662612,0.28706792123489644,1,0,7,8,0.5371196981937554,0.08836327607060102,1,0,0
0,1,8,7,0.31151527114724953,0.13734260018473898,0,0,8,5,0.6202460374775058,0.9359780493997132,1,1,10,5,0.04297565349980059,0.2627273444961232,1,0,1
1,1,6,5,0.48223002254875114,0.09450199456097463,1,1,9,7,0.745219071460548,0.3792908678828141,0,0,10,4,0.2842097048439196,0.5545195948171604,1,0,1
1,0,6,2,0.45646305973786905,0.0879555688874245,1,1,2,2,0.8631873286358606,0.5724903132217276,1,1,3,8,0.2813436120326652,0.07185141504443215,1,1,1
0,1,8,8,0.017686972331201645,0.42985178322667084,1,0,10,9,0.45364174388268363,0.9083816745842362,0,1,6,4,0.9225356795357982,0.18586546760235956,0,1,0
0,1,3,9,0.3713782174500124,0.9152780055629577,0,1,5,10,0.011698864475781723,0.898300221670631,1,1,3,5,0.7436030194307249,0.2827855429878352,1,1,0
0,0,9,4,0.12300652377265597,0.2803788987778729,1,1,3,4,0.5600367419294734,0.8746093650238376,1,1,5,7,0.37591095051553536,0.7030285595605209,1,1,0
1,0,4,2,0.11945954996069441,0.35473194878702385,1,0,8,3,0.6002924707984455,0.6516326099177696,1,0,2,6,0.22395328786129265,0.5687613926970175,1,1,1
1,1,10,9,0.11253444474295216,0.9305155142385378,1,0,9,6,0.45746741245025624,0.28822151692859155,1,0,3,8,0.2193678200084065,0.02677410914493028,1,0,0
0,1,1,1,0.4780065334703185,0.07383440936355123,0,1,8,4,0.05378021882816686,0.4177240445049807,1,1,5,2,0.37117882396315105,0.5751071606066723,0,0,0
1,1,5,4,0.7593418847709213,0.12939157675761148,0,1,9,6,0.7017307681773082,0.4380857157601624,1,0,1,5,0.5238661673329054,0.4362696992845002,0,1,0
1,0,2,9,0.6416552167607168,0.6861875777395818,0,1,10,2,0.2905450654777876,0.819949418812299,1,0,7,8,0.3464826614028701,0.8097401663144183,1,1,1
0,1,10,3,0.24003163247456816,0.17282969151551686,0,1,6,3,0.6885170154032654,0.8620561367427664,0,1,2,4,0.3072971574187652,0.700010274744294,0,1,0
1,1,7,8,0.38270573769755456,0.2129442592221551,0,1,4,8,0.5660929181593555,0.8543253381362127,1,0,5,6,0.20909664215912072,0.13489345981842116,1,0,0
1,0,9,8,0.14644326427278487,0.04176192183261407,0,1,1,7,0.9493438525569486,0.05864113449220032,0,1,5,9,0.03155689202395218,0.9229797580334216,0,0,1
1,0,3,4,0.8449719340127222,0.48825849952591227,0,1,4,5,0.4773581277890261,0.7767508240462118,1,1,10,9,0.7524546404322511,0.32326996462119784,0,1,1
0,1,2,6,0.019970269593965084,0.23557850318599727,1,0,2,6,0.8420864234796995,0.8956355202440621,0,0,7,2,0.32428323083039834,0.0015974540454212205,0,1,0
0,1,2,6,0.33978849537584177,0.263816033506418,0,0,1,5,0.5466140232351148,0.25068471186638996,0,1,2,2,0.2400779427701082,0.41928579540030875,1,1,1
1,0,2,10,0.27398092202622826,0.569119974924999,0,1,5,8,0.43820153507479487,0.9737270489422842,1,1,1,1,0.8546747186022297,0.8821225366593228,0,1,1
0,1,2,2,0.24918104999543245,0.753381781097619,0,0,5,1,0.05249952857517848,0.7771357111509739,1,1,4,8,0.5367690313708585,0.5109170495223152,1,0,0
0,0,4,8,0.9498847821473243,0.9824894808579719,0,0,7,5,0.0704216373554607,0.10737139294142173,1,0,4,9,0.30401425954118233,0.7998015010227871,0,0,0
0,1,1,8,0.8967786586095263,0.04178043515009844,1,0,4,10,0.7193882436218272,0.7156280799197917,1,0,6,2,0.3375634606355591,0.9376409183690502,0,0,0
0,0,2,7,0.9710511132171932,0.06767183252361719,0,1,3,9,0.9632094425411213,0.3115705092920934,0,0,5,10,0.4918154632789885,0.48919375211287,1,0,1
1,0,2,1,0.46129616634317294,0.0038762863695529504,1,1,1,9,0.41874157888993024,0.22229138456186048,0,0,9,6,0.3044859410903584,0.0191214775544416,0,1,1
1,0,2,1,0.602189608104742,0.5894921657432907,0,0,10,7,0.34958490240374474,0.15459277034708008,0,1,9,10,0.49709987838496694,0.21372397147325406,0,0,1
1,0,10,2,0.7005492879473307,0.595209857416172,0,0,9,4,0.7667220258365637,0.5272487936449213,1,1,3,1,0.666923467584407,0.19279019138996223,1,0,1
0,0,5,4,0.22968178185625265,0.5724681241483237,1,1,8,9,0.48466984670287916,0.9502564017770047,1,1,2,2,0.9744037681900471,0.6748393203601701,0,0,0
