obj1_feature_1,obj2_feature_1,obj1_feature_2,obj2_feature_2,obj1_feature_3,obj2_feature_3,obj1_feature_4,obj2_feature_4,obj1_feature_5,obj2_feature_5,obj1_feature_6,obj2_feature_6,obj1_feature_7,obj2_feature_7,obj1_feature_8,obj2_feature_8,collision
0,1,7,3,0.8991291874217843,0.8513368085418724,1,0,1,4,0.9323062090959703,0.6775022073055814,0,1,4,3,1
0,0,5,3,0.17355674850465985,0.5924004503071977,1,1,9,8,0.11274584008985777,0.3963319471920427,1,1,9,10,0
1,0,3,6,0.6502557858978828,0.058128046907362174,0,0,8,1,0.10697870346375205,0.64223065169253,0,0,10,3,1
1,1,5,10,0.4366487842324669,0.17043483858402309,1,1,7,6,0.17951848451429298,0.02694951354003705,0,1,10,8,0
0,0,3,4,0.6759466539678765,0.580761438215539,1,0,8,6,0.48505333878081747,0.7603567247202443,1,0,9,4,0
0,0,10,10,0.6980116024104512,0.4491866617614525,1,0,7,6,0.05996617878239141,0.9241949201104226,0,0,5,10,1
1,1,6,6,0.5642754222582077,0.5824256218203906,0,0,3,9,0.511492206076471,0.42362021390799065,1,0,1,9,1
1,0,1,6,0.0044596990487790755,0.13111965558269167,1,0,10,2,0.8600232158179073,0.8084871594887589,0,0,10,9,1
1,0,3,7,0.2452614792429454,0.441906238428018,1,1,9,6,0.10074891640927686,0.28181098819152417,0,1,8,3,0
1,1,6,6,0.06676247342882846,0.23036130381952857,1,1,6,8,0.4242759805239482,0.8829301691166831,0,1,2,9,1
0,1,1,10,0.630026738399427,0.4018402368764099,0,1,6,6,0.5573629871804513,0.6551212413329685,0,1,1,8,1
1,1,10,1,0.470917615688188,0.11222414230544309,0,1,2,3,0.6878582974514531,0.47211547393696685,1,0,2,10,0
0,1,10,10,0.5560092281892298,0.36511737340720196,1,1,3,4,0.7285246641386683,0.25849209931003503,0,0,8,10,1
1,0,6,2,0.972170041624634,0.8561561712988708,0,0,2,6,0.4135797228781182,0.8898881214095768,1,1,3,4,0
0,0,2,4,0.05414220121670288,0.7882625449127817,0,1,4,1,0.9809042072243593,0.6933776915069354,1,0,2,5,1
1,1,4,1,0.4613883928730331,0.009224030096045666,0,0,5,1,0.28080403431093426,0.4105299319678354,0,0,7,6,1
0,0,1,10,0.9235224300388977,0.28438276373451576,1,0,1,4,0.21914939579446313,0.029457892838567923,1,0,7,3,0
1,1,4,9,0.7951773264785422,0.14060094549143232,0,1,2,2,0.24541795420443246,0.6631065935106318,0,0,10,8,0
1,1,2,10,0.7119258454821411,0.7042792052315398,0,0,10,5,0.29736252148118947,0.8174004555913613,1,1,9,2,0
0,0,1,9,0.8281976197724815,0.08696865605580484,0,0,4,7,0.26642299262072877,0.39941881532686296,1,1,5,2,1
1,1,9,9,0.7430905857165855,0.44227381181369463,1,0,6,8,0.11640460351762427,0.46240190924865,1,0,4,1,0
1,1,9,3,0.8172892364369403,0.7786729077306346,1,1,3,3,0.7056986149697978,0.9922517087959453,1,1,1,3,1
1,1,2,7,0.40633814348134656,0.1389339122692761,0,0,7,6,0.7852184903554089,0.5798319211857683,0,1,4,3,1
0,0,4,3,0.6696981571599845,0.3848665989887651,1,0,5,6,0.3174141050377449,0.8257786766617766,1,0,9,9,1
0,1,1,9,0.6319620076497285,0.9306858228295933,0,0,2,9,0.4138098602406942,0.8571290076610643,0,0,4,7,0
0,0,3,1,0.3317986478040533,0.9742297741838309,0,0,2,2,0.7594860973458292,0.36978328310493824,1,0,10,8,1
1,1,4,6,0.8519128072284028,0.9865070752720156,0,0,5,4,0.11538451926057791,0.9668323825742143,0,1,8,4,0
1,1,7,9,0.5257675316059724,0.8714940180772338,0,1,8,6,0.665761541621669,0.9016910860002658,0,1,1,4,0
1,1,10,4,0.8055084681483695,0.5440266169038303,0,1,8,3,0.17947986664881588,0.6158257229220195,1,1,6,5,0
0,1,3,5,0.8578440856235986,0.6343738240175282,1,0,8,3,0.5228480599144537,0.5519672134682009,0,0,6,6,0
