obj1_feature_1,obj2_feature_1,obj1_feature_2,obj2_feature_2,obj1_feature_3,obj2_feature_3,obj1_feature_4,obj2_feature_4,obj1_feature_5,obj2_feature_5,obj1_feature_6,obj2_feature_6,obj1_feature_7,obj2_feature_7,obj1_feature_8,obj2_feature_8,obj1_feature_9,obj2_feature_9,obj1_feature_10,obj2_feature_10,collision
0,1,7,7,0.7083451447215162,0.7447387969239068,1,1,10,8,0.8135913909424234,0.5874905976221296,1,1,2,4,0.954809434755668,0.8400180941502042,0,0,0
0,1,2,6,0.4196065065550719,0.3113567176773214,0,1,10,5,0.4131029614411392,0.4005903443113129,1,0,4,4,0.04950758853809367,0.2718582904278265,0,0,0
1,0,10,8,0.5232663624514514,0.47761102501288555,1,1,10,7,0.9093849122145508,0.5115890490165107,0,0,1,6,0.7416083730866645,0.4356498316726546,1,1,0
0,0,1,1,0.5127450815023099,0.6398219830208127,1,0,10,2,0.09769638295123184,0.8034312987507655,1,1,7,9,0.29773802712215924,0.7256312413912288,0,1,0
0,0,3,8,0.6719557555011911,0.36359592436412635,1,1,2,10,0.5977509094007989,0.09354632341018243,0,0,7,9,0.22996218456437,0.42866762638390987,1,1,0
1,1,9,8,0.6139739781458388,0.0681592812470565,0,1,8,6,0.7750064788253969,0.7759847679487482,1,0,7,9,0.8826911199678311,0.43750727823418645,0,1,1
1,1,1,7,0.5086284635089808,0.6793103291485202,1,0,10,9,0.7590123346334557,0.375858845537294,1,1,4,8,0.10945113584329313,0.7657767369215621,0,1,1
0,1,10,8,0.8435901419658454,0.5010945576966497,1,0,7,4,0.5784611984470565,0.6008686900506041,0,0,9,2,0.3059496064868811,0.35334435741133763,0,0,0
0,1,1,5,0.8042015588861361,0.369999464417202,0,1,8,7,0.9681804654197562,0.3245672430457772,1,0,3,7,0.41038770781107237,0.005145944740040376,0,1,0
1,0,10,2,0.7752749903720736,0.9333836252692406,0,0,5,6,0.8557828484328482,0.6604674023029677,0,1,8,5,0.034453510866508164,0.13194525315055605,0,0,1
