obj1_feature_1,obj2_feature_1,obj1_feature_2,obj2_feature_2,obj1_feature_3,obj2_feature_3,obj1_feature_4,obj2_feature_4,obj1_feature_5,obj2_feature_5,obj1_feature_6,obj2_feature_6,obj1_feature_7,obj2_feature_7,obj1_feature_8,obj2_feature_8,obj1_feature_9,obj2_feature_9,obj1_feature_10,obj2_feature_10,collision
1,1,5,6,0.3029421079898609,0.41482929532045054,0,0,10,2,0.29288017351266504,0.22858231750412705,0,0,1,4,0.6567043592387684,0.7955169273269577,1,0,0
1,0,8,2,0.5750914894708827,0.014573146040978702,1,0,2,6,0.715729462401364,0.040608007418431846,0,0,8,2,0.4934822023523948,0.27274946503551234,0,0,1
1,1,9,6,0.7591554813203588,0.9493040717413626,0,0,9,9,0.08722498878774099,0.21310145824936855,1,0,3,5,0.37604142125032225,0.5533198036928171,1,0,0
0,0,8,6,0.8389633295171239,0.08381263424718388,1,1,8,1,0.13969376388893295,0.1923337077046482,1,1,1,9,0.24769976850009479,0.9622330346963409,1,0,0
1,0,1,9,0.25417718592292426,0.56774552450897,1,0,6,8,0.2625132977940695,0.9261211066936316,0,1,1,7,0.16042110543683563,0.8708818469506493,1,1,0
1,1,1,8,0.7373592121344485,0.2700753989387574,0,1,9,3,0.19629969462372443,0.0024460211629554474,0,0,8,5,0.06414982602389951,0.3029792003808569,0,0,0
0,1,8,4,0.12176810398349203,0.08399811481747965,0,1,5,4,0.24245316289596175,0.520703351348453,1,1,8,2,0.22143845558590247,0.940538183456457,0,1,1
0,1,7,8,0.12939388331624346,0.7408592915362706,1,0,2,5,0.12277634620364397,0.9128827355992759,1,1,8,5,0.5248703482671621,0.2797622468347317,0,0,0
1,0,1,10,0.5453594329970792,0.4634374366545281,0,1,4,10,0.9258487628027186,0.14119941561632998,0,1,5,8,0.2252179975689732,0.3447101979513625,1,1,1
0,1,4,5,0.09611839213858342,0.9583873680294981,1,1,6,6,0.3732563286562076,0.6974036642966928,0,0,10,10,0.9703798011707249,0.8406460928821113,0,1,0
