obj1_feature_1,obj2_feature_1,obj1_feature_2,obj2_feature_2,obj1_feature_3,obj2_feature_3,obj1_feature_4,obj2_feature_4,obj1_feature_5,obj2_feature_5,obj1_feature_6,obj2_feature_6,obj1_feature_7,obj2_feature_7,obj1_feature_8,obj2_feature_8,collision
0,0,4,4,0.9814296876630206,0.25496211963381177,1,0,1,3,0.2903083869622153,0.8774807175861334,1,1,2,3,1
0,0,5,3,0.22236792374581316,0.6490353796530404,0,1,1,5,0.970077789969283,0.306501087321548,0,1,9,7,0
1,0,9,10,0.5744637496575771,0.014702996872624774,1,1,6,5,0.25539309918087916,0.08667062530753977,1,0,3,3,1
0,0,7,1,0.9115578458701974,0.786332574576905,0,0,9,3,0.48990120224056977,0.6415735297162155,1,1,8,6,1
0,0,2,9,0.4238238886911426,0.16550069443875637,0,1,10,5,0.7845063761329517,0.2821073936100337,1,1,8,5,0
1,1,3,9,0.3657168572143237,0.9250788631243755,1,0,5,3,0.26885703415073814,0.13332269134264974,0,0,1,1,0
1,0,9,2,0.424086860598762,0.0021233484287644933,0,0,10,6,0.3810805259830914,0.03843220991259788,0,1,5,4,1
1,1,2,8,0.861716683721676,0.7443781872146518,0,1,3,10,0.14750986598371696,0.24987563079277308,0,0,3,2,1
0,0,5,2,0.08996597830284081,0.26224559630368105,0,1,7,6,0.5053987845776332,0.5732118423879865,0,1,8,3,0
1,1,3,4,0.24236850953996436,0.6230513830808926,0,1,2,8,0.04787079239282388,0.06581990453990438,0,0,2,7,0
0,1,8,2,0.2208211937336514,0.5137912377293975,1,0,4,4,0.5018122781099823,0.5763418627678879,0,0,2,1,0
1,1,1,6,0.24861784753119176,0.5593233013599946,0,1,10,4,0.2990369569057306,0.7506673310585691,1,0,5,4,0
0,1,7,1,0.03240637249053013,0.7613453949666709,1,0,8,3,0.568174528009567,0.8392796347212894,1,1,4,5,1
1,1,2,3,0.7913088797272358,0.3506064230122121,1,0,10,10,0.951536855117933,0.8181856302555323,1,1,1,1,0
1,1,4,9,0.19848447071048414,0.12521648142998487,1,0,5,8,0.434121322608514,0.2881729924902765,0,1,6,4,1
1,1,1,4,0.47901371620105127,0.6927783758817924,0,1,4,9,0.6874461619674447,0.9970494306430662,1,0,4,7,0
1,0,5,7,0.43080016818224687,0.8978423921417231,1,0,8,9,0.3274248253644084,0.49274795058568854,1,0,1,2,0
0,0,4,10,0.07349600471276052,0.10263519423432277,1,1,3,2,0.8490661836689933,0.905010418545036,0,0,5,6,1
1,0,7,7,0.6374393076890494,0.49666057295714605,1,0,1,9,0.2124190025150019,0.8806276021453515,1,0,8,4,1
0,1,1,7,0.877734597689161,0.7740386565785266,1,0,8,9,0.5228914295232114,0.37128135944624996,1,0,3,6,0
0,0,9,9,0.6087691022299521,0.969339101238297,0,0,4,10,0.4276602926846198,0.5050328663940908,1,0,6,1,0
1,1,1,1,0.7601066794834199,0.7948295661803453,0,1,5,10,0.8102108552820263,0.3891908803481611,1,0,6,7,0
1,1,3,1,0.18610523960323988,0.3269187572705098,0,0,1,6,0.14126653559642277,0.14533272990835455,1,0,9,4,1
0,0,3,9,0.05033167777916292,0.917253089846029,0,1,8,8,0.3218484907190342,0.9819700226534955,0,0,7,5,0
1,0,2,8,0.41918296176526304,0.9418403699343438,1,1,3,2,0.23116940096135274,0.38218323791695363,0,1,9,10,1
